Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G006094375	-8.02005435999999	0.2167117579349997	1.1875913736859531	1.2813843237851132	(-10.3275, -6.03315)	(-1.92069, 2.75056)
G010646905	-8.192403655000009	-0.395335187986	1.1891218897078617	1.3276528076688838	(-10.4695, -6.17889)	(-2.73726, 2.20093)
G019355975	-8.028230499500005	-1.523025425379999	1.3946370201278475	1.990169888063776	(-10.8408, -5.71379)	(-5.02066, 1.70239)
G000005845	-10.3424163109	1.8360948239445016	2.1136232644388904	2.189064981094465	(-14.5209, -6.9377)	(-1.89963, 6.04978)
G000204645	-6.988234270999985	-1.1234418730600002	1.3541246407729703	1.706120144919732	(-9.37425, -4.34804)	(-4.26073, 2.08339)
G006165035	-7.318500155	0.7001285936319998	0.9081782680234243	0.9992313480186146	(-9.07023, -5.73712)	(-1.23788, 2.43477)
G010669225	-9.223479203999998	2.2194616129525	2.587607156415497	2.5715338928553573	(-14.6829, -4.80191)	(-2.96804, 6.89815)
G902329575	-9.49086654364999	1.810489421685	2.6489821170415344	2.6927579034627094	(-14.2524, -4.07962)	(-3.56998, 6.60765)
G000368765	-9.891295529649994	1.6729076888900012	2.4502146301047945	2.430450998003502	(-14.7592, -5.14406)	(-2.45505, 6.7019)
G019633635	-10.193130504999981	2.7758359260284973	2.0272216808657344	2.045435989361509	(-14.0872, -6.70878)	(-0.490817, 7.11334)
G000006765	-10.339285629999974	3.6573158883500008	2.0034477415184826	2.0096915537928677	(-14.1047, -7.01474)	(0.349658, 7.48095)
G013372045	-7.901457569999993	0.0030249428659999997	1.2274568432442727	1.3584069528382272	(-10.2659, -5.79347)	(-2.33772, 2.70429)
G000208865	-8.01881688775	0.16314400756999967	1.4456344781258197	1.5930426430735913	(-10.7626, -5.59115)	(-2.90853, 3.10941)
G008710035	-10.402301910999999	0.5567070725364992	2.6290879612172664	2.81280479555137	(-15.6779, -6.03658)	(-4.64179, 5.82574)
G001997165	-7.991521334999994	-0.28215093878200004	1.1160869875311101	1.2445518162519347	(-10.231, -5.95876)	(-2.66505, 2.09239)
G006239215	-9.403449416000008	2.6896090507230017	2.5009127253597927	2.569307579999883	(-13.6998, -4.47948)	(-2.42325, 7.24755)
G010918895	-5.998797434499999	-2.7886289756199987	1.3304978380959263	1.9624890033430662	(-8.22603, -3.49161)	(-6.50243, 0.980661)
G000368805	-6.102606545000006	0.1033225418800001	0.4827671265370214	0.5465260740091653	(-7.06498, -5.28285)	(-0.888533, 1.16017)
G902363055	-10.175105574999984	2.7691809285094977	2.2312440834768545	2.2662289580208417	(-14.3515, -5.94274)	(-1.20814, 7.16784)
G014836715	-9.525986032479993	-1.7961689434385029	4.904155049018429	4.5890247522969805	(-19.6225, -0.553388)	(-10.7095, 7.15273)
G000518645	-5.385392694999995	-0.5641865758899988	0.575675343277864	0.7378890522821564	(-6.4959, -4.35273)	(-1.96714, 0.876688)
G000830155	-8.058294579999993	-0.9222091243429994	1.1482650922148698	1.369471974423463	(-10.2873, -6.07487)	(-3.51306, 1.68133)
G900177615	-8.092407915000015	1.6561664462700005	1.1415820470550082	1.165113420928831	(-10.3558, -6.24165)	(-0.463529, 3.84484)
G019704495	-10.571494280000003	1.9800140735699996	2.1972841111444317	2.2363488559190325	(-14.7653, -6.84188)	(-1.90346, 6.31803)
G002288325	-9.529953590499977	3.720967574499994	2.421847118161568	2.4797947493235086	(-14.2535, -5.39005)	(-0.558922, 8.62115)
G016766915	-6.22058077500001	-0.2381608818300001	0.465372973196284	0.5113564652178695	(-7.079, -5.30796)	(-1.11746, 0.858119)
G000006925	-9.067985111840004	0.8244786028249987	3.7807946147357288	3.296766033821748	(-16.0073, -1.10244)	(-5.4094, 7.30499)
G013374815	-10.142832691650023	1.6399116715600008	2.6824919416678106	2.584151412369577	(-15.1996, -4.98191)	(-2.8441, 6.64317)
G003700725	-8.024308844999991	0.3907007133909998	1.0421957247838889	1.109430343729722	(-10.0047, -6.27957)	(-1.47856, 2.55947)
G001552595	-9.981000154999979	3.1525681824380043	2.1400655860945053	2.194254962326971	(-14.2089, -6.397)	(-0.603465, 7.46637)
G900105835	-10.310079735000022	1.6989798452504983	2.367278030029485	2.386500417977009	(-15.0626, -6.73552)	(-2.23269, 6.37065)
G000210075	-7.310656719999992	-2.1159767413285016	1.24980590419803	1.9668718078239316	(-9.62833, -4.79734)	(-5.69041, 1.62579)
G008727715	-6.930123080000002	0.6504640401150001	0.7687176387865137	0.8587821278629719	(-8.4185, -5.50238)	(-0.882176, 2.2722)
G001997185	-10.402301910999999	0.5567070725364992	2.6290879612172664	2.81280479555137	(-15.6779, -6.03658)	(-4.64179, 5.82574)
G006352475	-7.408797005000003	-0.24119561157649996	0.8869685180666119	1.0326783216050315	(-9.11491, -5.83461)	(-2.24817, 1.55408)
G010974825	-6.704383610999991	-1.3744789403000062	1.4374876570563697	1.9247063468175887	(-9.33172, -3.98778)	(-5.09353, 2.07335)
G003030305	-3.6450175799999958	0.5936111412100005	0.20134756914312035	0.2328496316328957	(-4.01907, -3.27514)	(0.162611, 1.03114)
G000368885	-8.084384054999996	0.9441161952664998	1.1761714077514829	1.2543127360974375	(-10.2924, -6.20008)	(-1.25061, 3.3191)
G902387545	-10.337553830000017	3.237337848450004	2.180950636117938	2.184835363808409	(-14.1569, -6.69228)	(-0.414077, 7.24862)
G014874165	-8.426442548499997	2.1030787305975003	3.097794814822153	3.086163076192908	(-13.9915, -2.44754)	(-3.5733, 8.10903)
G000597745	-10.402301910999999	0.5567070725364992	2.6290879612172664	2.81280479555137	(-15.6779, -6.03658)	(-4.64179, 5.82574)
G000949655	-5.8762625299999955	-0.7091763218635984	0.388399987800076	0.4593188642085653	(-6.60146, -5.15927)	(-1.50843, 0.161657)
G900186865	-10.402301910999999	0.5567070725364992	2.6290879612172664	2.81280479555137	(-15.6779, -6.03658)	(-4.64179, 5.82574)
G019704535	-10.518714310000012	1.4406637360049988	2.261995242553425	2.314601151155074	(-14.704, -6.63979)	(-2.33171, 6.06726)
G002327145	-7.247914914999995	-1.7871576097030015	0.8147933703291237	1.1259078721746316	(-8.75191, -5.73672)	(-4.07116, 0.171239)
G016812215	-10.310079735000022	1.6989798452504983	2.367278030029485	2.386500417977009	(-15.0626, -6.73552)	(-2.23269, 6.37065)
G000008865	-7.185280524999992	-1.7989213120900005	0.8648638560109762	1.189156725899515	(-8.9103, -5.75206)	(-4.0464, 0.333459)
