#OTU ID	15336.HCC.13.Background	15336.HCC.16.Background	15336.HCC.2.Background	15336.CRC.8.Background	15336.HCC.15.Background	15336.CRC.2.Background	15336.CRC.6.Background	15336.CRC.3.Background	15336.HCC.5.Background	15336.HCC.7.Background	15336.CRC.5.Background	15336.CRC.9.Background	15336.CRC.7.Background	15336.HCC.6.Background	15336.HCC.8.Background	15336.HCC.11.Background	15336.HCC.12.Background	15336.HCC.4.Background	15336.HCC.10.Background	15336.HCC.9.Background	15336.HCC.1.Background	15336.HCC.3.Background	15336.CRC.4.Background	15336.CRC.1.Background	15336.HCC.14.Background	15336.CRC.10.Background	15336.CRC.11.Background
G000072485	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0
G001275345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
G001747495	148.0	698.0	689.0	845.0	862.0	663.0	905.0	0.0	676.0	685.0	1150.0	891.0	549.0	898.0	259.0	121.0	441.0	713.0	20.0	90.0	29.0	548.0	910.0	887.0	40.0	131.0	469.0
G003269315	71.0	515.0	489.0	525.0	601.0	343.0	573.0	2.0	449.0	416.0	682.0	449.0	359.0	594.0	135.0	66.0	300.0	337.0	8.0	59.0	16.0	289.0	502.0	500.0	15.0	45.0	288.0
G010500925	233.0	1257.0	1159.0	1351.0	1493.0	1032.0	1512.0	0.0	1134.0	1112.0	1871.0	1316.0	912.0	1511.0	415.0	178.0	745.0	1011.0	31.0	138.0	46.0	801.0	1472.0	1409.0	57.0	179.0	728.0
G900184925	200.0	1042.0	954.0	1130.0	1239.0	861.0	1265.0	0.0	951.0	925.0	1565.0	1088.0	754.0	1250.0	341.0	150.0	614.0	849.0	27.0	119.0	38.0	671.0	1242.0	1175.0	48.0	157.0	605.0
