Fail
G000001985
G000002415
G000002445
G000002495
G000002655
G000002725
G000002765
G000002825
G000002845
G000002855
G000004695
G000006355
G000006405
G000006445
G000006945
G000007145
G000008425
G000009145
G000010505
G000011325
G000011565
G000011645
G000013325
G000013605
G000013645
G000013985
G000014145
G000014805
G000014945
G000015325
G000015505
G000015725
G000016345
G000016525
G000016745
G000016765
G000017565
G000019725
G000019965
G000020045
G000020225
G000020425
G000021045
G000021845
G000022005
G000022025
G000022085
G000022305
G000022905
G000023065
G000023145
G000023405
G000023705
G000023865
G000024025
G000024065
G000024105
G000024385
G000024405
G000024865
G000024925
G000024945
G000024985
G000025225
G000025265
G000025345
G000025565
G000067205
G000069225
G000069965
G000083545
G000091305
G000091545
G000092025
G000092125
G000092285
G000092645
G000092785
G000092985
G000093025
G000142905
G000142945
G000143105
G000143535
G000143745
G000143825
G000144405
G000144605
G000145235
G000145255
G000145635
G000145945
G000146045
G000146065
G000146185
G000146345
G000147675
G000148565
G000148585
G000149405
G000149645
G000149685
G000149755
G000149925
G000150675
G000150735
G000151545
G000153725
G000153885
G000153905
G000153925
G000154065
G000154105
G000154365
G000154425
G000154465
G000154485
G000154525
G000154565
G000154845
G000154985
G000155205
G000155815
G000156175
G000156195
G000156495
G000156515
G000156535
G000156655
G000156675
G000157915
G000157955
G000158015
G000159035
G000159135
G000159375
G000159635
G000159995
G000160055
G000160095
G000160595
G000160755
G000160875
G000162255
G000162295
G000162755
G000164095
G000164695
G000165735
G000166395
G000166795
G000167675
G000168035
G000169015
G000169035
G000169235
G000169475
G000172175
G000172555
G000172815
G000173355
G000173435
G000173455
G000173795
G000173915
G000173975
G000174195
G000174695
G000175375
G000175575
G000175615
G000177075
G000177435
G000178435
G000178875
G000178955
G000179955
G000181695
G000182645
G000182765
G000182925
G000183135
G000184455
G000185305
G000185365
G000185505
G000185705
G000186425
G000186465
G000187265
G000187405
G000187465
G000187585
G000187895
G000188175
G000188295
G000189535
G000190375
G000190435
G000190535
G000190575
G000190755
G000191145
G000191405
G000191585
G000191785
G000192065
G000193415
G000194605
G000194925
G000195615
G000195635
G000196015
G000196175
G000196615
G000196675
G000196855
G000197735
G000203815
G000203915
G000204015
G000204035
G000204195
G000204415
G000205025
G000205165
G000209065
G000210055
G000210375
G000210575
G000210695
G000210715
G000211835
G000213575
G000214035
G000214075
G000214235
G000214665
G000214725
G000215705
G000215745
G000219805
G000220395
G000221985
G000222745
G000224615
G000224715
G000225345
G000225545
G000226135
G000226395
G000226955
G000230695
G000231275
G000233915
G000233955
G000234665
G000235565
G000235885
G000238055
G000238575
G000239295
G000240225
G000241145
G000241325
G000241465
G000241525
G000242115
G000242435
G000245735
G000245815
G000246925
G000247715
G000252445
G000253035
G000253275
G000255655
G000256565
G000257395
G000257825
G000258495
G000260755
G000262525
G000264945
G000265365
G000269805
G000269965
G000270245
G000271325
G000271485
G000271645
G000272005
G000273175
G000280055
G000280495
G000282995
G000284275
G000284375
G000284415
G000285835
G000285995
G000286355
G000286555
G000296465
G000296815
G000297055
G000297615
G000298775
G000298875
G000300095
G000300375
G000300975
G000301075
G000306115
G000308295
G000308495
G000310185
G000311825
G000311925
G000312145
G000312425
G000312465
G000312505
G000312645
G000314735
G000315425
G000315445
G000315465
G000315525
G000315625
G000316515
G000317125
G000317475
G000318355
G000320405
G000320565
G000321005
G000321105
G000321205
G000328665
G000331775
G000332155
G000332645
G000332875
G000336555
G000336955
G000337315
G000337615
G000337735
G000337895
G000338955
G000344575
G000344785
G000344805
G000348725
G000348945
G000349305
G000350525
G000354255
G000364225
G000364445
G000364625
G000367345
G000367365
G000367505
G000367845
G000367945
G000368065
G000368085
G000368565
G000368785
G000368825
G000368865
G000369065
G000369385
G000369885
G000372405
G000372745
G000372845
G000373085
G000373185
G000373725
G000373765
G000373785
G000374065
G000374505
G000374525
G000374585
G000374625
G000376105
G000376265
G000376405
G000376565
G000377625
G000378065
G000378245
G000378365
G000378465
G000378485
G000379145
G000379185
G000379625
G000379645
G000379725
G000379745
G000379865
G000380105
G000380505
G000380545
G000381045
G000381065
G000381125
G000381365
G000382265
G000382445
G000382905
G000383415
G000383855
G000384075
G000384115
G000385175
G000392435
G000400485
G000402035
G000403725
G000407565
G000411375
G000412675
G000413855
G000413935
G000414075
G000417875
G000420065
G000420525
G000420585
G000420645
G000420765
G000420785
G000420805
G000421565
G000421705
G000421765
G000422245
G000422325
G000422705
G000422725
G000422745
G000422885
G000423285
G000423385
G000423445
G000423465
G000423565
G000423665
G000423685
G000423805
G000423825
G000423885
G000423905
G000424685
G000425085
G000425105
G000425285
G000425485
G000425565
G000425625
G000425845
G000426485
G000426525
G000427405
G000427785
G000427805
G000427825
G000427905
G000428125
G000428485
G000428685
G000428845
G000429065
G000429225
G000429325
G000429605
G000429765
G000430205
G000430245
G000430565
G000430725
G000430825
G000430845
G000430905
G000442645
G000442985
G000443165
G000445065
G000445105
G000445125
G000445145
G000445445
G000447205
G000447435
G000455225
G000455445
G000455525
G000455825
G000464535
G000467105
G000467875
G000468015
G000468135
G000469035
G000469345
G000469665
G000472965
G000472985
G000473485
G000474745
G000478365
G000478565
G000492155
G000493735
G000494755
G000495775
G000495915
G000498515
G000498535
G000498975
G000499745
G000499785
G000503215
G000507185
G000507785
G000510645
G000511955
G000512235
G000513195
G000513835
G000515315
G000518625
G000518785
G000519045
G000519105
G000519325
G000522465
G000523435
G000523455
G000524495
G000527035
G000527135
G000527765
G000550785
G000550805
G000559025
G000576555
G000577555
G000577815
G000585155
G000585355
G000585375
G000585535
G000597765
G000600005
G000600275
G000611675
G000612685
G000613225
G000613325
G000613605
G000613645
G000613725
G000613825
G000613925
G000614005
G000614145
G000614185
G000614245
G000614285
G000614355
G000614585
G000615685
G000619845
G000619905
G000620105
G000620145
G000620805
G000620825
G000620985
G000621225
G000621265
G000621325
G000622145
G000622225
G000632105
G000633455
G000647955
G000648235
G000661955
G000685095
G000685925
G000686665
G000686885
G000686905
G000687165
G000687475
G000687635
G000687735
G000688255
G000688395
G000688415
G000688495
G000689415
G000695095
G000695795
G000696305
G000699505
G000701445
G000701685
G000701705
G000701905
G000702905
G000708125
G000708285
G000708655
G000709125
G000711965
G000716435
G000716715
G000717585
G000718325
G000719095
G000719975
G000720925
G000721705
G000721785
G000722885
G000723165
G000723465
G000730565
G000730685
G000731315
G000731675
G000733715
G000734905
G000735105
G000735345
G000735435
G000735445
G000735515
G000735695
G000737145
G000737325
G000737685
G000737695
G000737705
G000737765
G000737785
G000738005
G000738675
G000739875
G000739935
G000739995
G000740035
G000740785
G000741285
G000741375
G000741565
G000741605
G000741685
G000741785
G000741825
G000743055
G000743575
G000744225
G000744945
G000745125
G000746485
G000746825
G000747195
G000747315
G000747725
G000751755
G000754405
G000755165
G000755525
G000756045
G000757385
G000757795
G000759055
G000759735
G000759775
G000761055
G000763375
G000764535
G000764645
G000764655
G000764665
G000765945
G000767465
G000768695
G000769135
G000769745
G000769825
G000769935
G000770925
G000770965
G000771025
G000771045
G000771105
G000771305
G000771445
G000771525
G000771545
G000771745
G000783715
G000783935
G000785495
G000785515
G000786655
G000787535
G000799205
G000800395
G000803625
G000803645
G000805675
G000807215
G000807695
G000807925
G000813265
G000813705
G000815465
G000818015
G000819685
G000819725
G000819765
G000819785
G000819805
G000819825
G000819865
G000819885
G000819955
G000820025
G000820045
G000820065
G000820085
G000820105
G000820225
G000820265
G000820285
G000820305
G000820325
G000820365
G000820725
G000826065
G000827555
G000828075
G000828635
G000828895
G000829435
G000832125
G000833575
G000833995
G000834015
G000835455
G000836015
G000836115
G000836275
G000837125
G000838645
G000839785
G000845685
G000846365
G000848125
G000871465
G000875975
G000878195
G000891975
G000897835
G000898815
G000899375
G000899395
G000899415
G000900255
G000903115
G000903355
G000912035
G000912675
G000934545
G000935025
G000936425
G000938265
G000938715
G000939975
G000940845
G000949455
G000952155
G000953015
G000954135
G000956415
G000956465
G000956535
G000956575
G000956595
G000959525
G000959545
G000960005
G000962825
G000963705
G000964545
G000967915
G000969605
G000970265
G000970465
G000971805
G000972175
G000974685
G000986865
G000987075
G001005725
G001006005
G001006485
G001010405
G001013475
G001021565
G001025175
G001025195
G001025215
G001028645
G001028705
G001039365
G001041315
G001041615
G001041635
G001042485
G001042615
G001042675
G001042895
G001042905
G001042915
G001042985
G001043005
G001043025
G001043885
G001046645
G001046655
G001046855
G001050255
G001071155
G001182725
G001183605
G001189245
G001189915
G001189965
G001190275
G001190715
G001190735
G001202035
G001244495
G001262015
G001263755
G001267925
G001269845
G001275135
G001278075
G001278385
G001280205
G001280255
G001280455
G001280875
G001293125
G001294535
G001294575
G001298445
G001302325
G001305515
G001305955
G001306035
G001314325
G001315785
G001375595
G001375615
G001399515
G001399775
G001400235
G001400635
G001400955
G001401075
G001401215
G001404615
G001404635
G001404935
G001405015
G001405615
G001406295
G001411495
G001414055
G001418245
G001418295
G001418475
G001418575
G001420285
G001431525
G001431535
G001431595
G001433765
G001434005
G001434065
G001434175
G001434815
G001435015
G001435275
G001435495
G001435575
G001435585
G001435655
G001435715
G001435835
G001436045
G001436455
G001436855
G001437035
G001437315
G001437565
G001438765
G001438845
G001439685
G001439725
G001439735
G001439785
G001439815
G001440385
G001440405
G001440415
G001440475
G001441535
G001442625
G001443605
G001447195
G001457435
G001457635
G001457835
G001458655
G001458775
G001463885
G001463905
G001465545
G001467115
G001467895
G001468025
G001468135
G001481395
G001483145
G001483865
G001487165
G001499615
G001499655
G001500315
